LINE_ID,ID,DIST,DIST_SURF,X,Y,Z,layer,path
"420","76",0.0058276766,122.98305666,-149.48211635,-17.493912975,-6.4327778816,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","77",0.0060435165,128.46666789,-149.48191635,-17.493994134,-0.9491666555,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"420","78",0.0062593564,129.78389011,-149.48171635,-17.494075294,0.3680555522,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","79",0,0,-149.37876558,-17.521873111,-8.1694440842,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","80",0.0002491289,0.9908333138,-149.37896558,-17.521724567,-9.1602773666,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","81",0.0004982579,2.0452776563,-149.37916558,-17.521576023,-8.1058330536,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","82",0.0007473868,2.5563889764,-149.37936558,-17.52142748,-8.616944313,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","83",0.0009965158,4.8925000585,-149.37956558,-17.521278936,-10.953055382,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","84",0.0012456447,6.895000608,-149.37976558,-17.521130392,-12.955555916,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","85",0.0014947736,8.7872220752,-149.37996558,-17.520981849,-14.847777367,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","86",0.0017439026,10.793889228,-149.38016558,-17.520833305,-16.854444504,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","87",0.0019930315,13.05944367,-149.38036558,-17.520684761,-19.119998932,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","88",0.0022421604,14.046666373,-149.38056558,-17.520536217,-20.107221603,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","89",0.0024912894,17.721667525,-149.38076558,-17.520387674,-23.782222748,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","90",0.0027404183,22.096110587,-149.38096558,-17.52023913,-28.156665802,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","91",0.0029895473,26.97694708,-149.38116558,-17.520090586,-33.037502289,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","92",0.0032386762,29.254164959,-149.38136558,-17.519942043,-35.314720154,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","93",0.0034878051,35.687499314,-149.38156558,-17.519793499,-41.748054504,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","94",0.0037369341,42.102778707,-149.38176558,-17.519644955,-48.163333893,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","95",0.003986063,47.026110928,-149.38196558,-17.519496412,-53.086666107,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","96",0.0042351919,50.734999944,-149.38216558,-17.519347868,-56.795555115,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","97",0.0044843209,51.497775406,-149.38236558,-17.519199324,-56.032779694,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","98",0.0047334498,52.220553769,-149.38256558,-17.519050781,-55.310001373,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","99",0.0049825788,53.43444387,-149.38276558,-17.518902237,-56.523891449,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","100",0.0052317077,54.662223284,-149.38296558,-17.518753693,-55.296112061,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","101",0.0054808366,66.786944813,-149.38316558,-17.51860515,-43.171390533,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","102",0.0057299656,84.835280844,-149.38336558,-17.518456606,-25.123054504,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","103",0.0059790945,92.445279551,-149.38356558,-17.518308062,-17.513055801,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","104",0.0062282234,102.08805747,-149.38376558,-17.518159518,-7.8702778816,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","105",0.0064773524,102.9202795,-149.38396558,-17.518010975,-7.0380558968,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"417","106",0.0067264813,102.99166865,-149.38416558,-17.517862431,-7.1094446182,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","107",0,0,-149.36884637,-17.527373395,-8.5358333588,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","108",0.0002031974,0.7452774325,-149.36864637,-17.527409301,-7.790555954,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","109",0.0004063947,1.2077780493,-149.36844637,-17.527445206,-7.3280553818,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","110",0.0006095921,1.551666869,-149.36824637,-17.527481111,-7.6719441414,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","111",0.0008127895,2.9977780855,-149.36804637,-17.527517016,-9.1180553436,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","112",0.0010159869,5.279167331,-149.36784637,-17.527552921,-11.39944458,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","113",0.0012191842,8.4841672611,-149.36764637,-17.527588826,-14.604444504,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","114",0.0014223816,13.99027841,-149.36744637,-17.527624731,-20.110555649,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","115",0.001625579,22.990556885,-149.36724637,-17.527660636,-29.110834122,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","116",0.0018287764,35.184444597,-149.36704637,-17.527696541,-41.304721832,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","117",0.0020319737,51.333610706,-149.36684637,-17.527732446,-57.453887939,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","118",0.0022351711,63.96222704,-149.36664637,-17.527768351,-70.082504272,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","119",0.0024383685,75.519165214,-149.36644637,-17.527804256,-81.639442444,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","120",0.0026415658,85.572967706,-149.36624637,-17.527840161,-91.693244934,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","121",0.0028447632,88.898399536,-149.36604637,-17.527876066,-95.018676758,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","122",0.0030479606,91.582191658,-149.36584637,-17.527911971,-97.702468872,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","123",0.003251158,92.690834255,-149.36564637,-17.527947876,-98.81111145,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","124",0.0034543553,92.912338559,-149.36544637,-17.527983781,-98.589607239,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","125",0.0036575527,93.391762125,-149.36524637,-17.528019686,-98.110183716,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","126",0.0044703422,94.08719717,-149.36444637,-17.528163306,-97.414749146,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
"418","127",0.0046735396,94.291161505,-149.36424637,-17.528199212,-97.210784912,profile_from_transects_tahiti,C:\Users\nlafn\Documents\GitHub\ReefPassages\data\data_for_transects\profile_from_transects_tahiti.geojson
